Genus_Species,Subfamily,Diet,Nesting_strata,QinColony_0Mon_1Poly,Morphism_0Mono_1Poly,ColonySize_Median,HeadWidth_mm,MandibleLength_mm,QHeadWidth_mm,QMandibleLength_mm,ColDimorphism,LogColsize
Pseudomyrmex_ejectus,Pseudomyrmecinae,Omnivore,Arboreal,-,0,80,0.6551667,0.2665,0.696,0.316,2.458411632,1.903089987
Pseudomyrmex_elongatus,Pseudomyrmecinae,Omnivore,Arboreal,-,0,80,0.5696,0.2463,0.587,0.295,2.312626878,1.903089987
Pseudomyrmex_gracilis,Pseudomyrmecinae,Omnivore,Arboreal,0,0,80,1.3541,0.574,1.55,0.841,2.359059233,1.903089987
Pseudomyrmex_pallidus,Pseudomyrmecinae,Omnivore,Arboreal,1,0,30,0.6828,0.2986,0.709,0.389,2.286671132,1.477121255
Pseudomyrmex_seminole,Pseudomyrmecinae,-,Ground,0,0,-,0.9501667,0.3015,0.963,0.403,3.151465008,-
Pseudomyrmex_simplex,Pseudomyrmecinae,Omnivore,Arboreal,0,0,-,0.6427,0.2278,0.649,0.335,2.821334504,-
Solenopsis_carolinensis,Myrmicinae,Omnivore,Ground,1,0,200,0.3223,0.15125,0.474,0.279,2.130909091,2.301029996
Solenopsis_geminata,Myrmicinae,Omnivore,Ground,1,1,28000,1.0225909,0.4497273,1.507,0.794,2.273802146,4.447158031
Solenopsis_globularia,Myrmicinae,Omnivore,Ground,-,1,50,0.4238,0.1858,0.611,0.323,2.280947255,1.698970004
Solenopsis_invicta,Myrmicinae,Omnivore,Ground,1,1,150000,1.2046667,0.56725,1.266,0.637,2.123696254,5.176091259
Stenamma_foveolocephalum,Myrmicinae,Predator,Ground,-,0,-,0.94325,0.41925,-,-,2.249850924,-
Stenamma_impar,Myrmicinae,Omnivore,Ground,0,0,54,0.5755,0.291,0.72,0.533,1.97766323,1.73239376
Stigmatomma_pallipes,Amblyoponinae,Predator,Ground,1,0,11.5,1.0892,0.783,1.095,0.852,1.391060026,1.06069784
Strumigenys_abdita,Myrmicinae,Predator,Ground,-,0,-,0.415,0.105,-,-,3.952380952,-
Strumigenys_angulata,Myrmicinae,Predator,Leaf Litter,-,0,-,0.442,0.181,0.515,0.275,2.44198895,-
Strumigenys_apalachicolensis,Myrmicinae,Predator,Leaf Litter,-,0,332,0.35,0.087,0.399,0.162,4.022988506,2.521138084
Strumigenys_archboldi,Myrmicinae,Predator,Leaf Litter,1,0,-,0.3776667,0.143,0.417,0.188,2.641025874,-
Strumigenys_boltoni,Myrmicinae,Predator,Leaf Litter,-,0,-,0.336,0.11,0.416,0.138,3.054545455,-
Strumigenys_bunki,Myrmicinae,Predator,Leaf Litter,-,0,40,0.3795,0.114,0.413,0.133,3.328947368,1.602059991
Strumigenys_cloydi,Myrmicinae,Predator,Ground,-,0,50,0.3795,0.14775,-,-,2.568527919,1.698970004
Strumigenys_creightoni,Myrmicinae,Predator,Leaf Litter,0,0,42,0.377,0.1275,0.467,0.147,2.956862745,1.62324929
Strumigenys_dietrichi,Myrmicinae,Predator,Ground,-,0,65,0.3456667,0.1323333,0.395,0.209,2.61209159,1.812913357
Strumigenys_eggersi,Myrmicinae,Predator,Leaf Litter,1,0,33,0.3598,0.2784,0.387,0.291,1.292385057,1.51851394
Strumigenys_emmae,Myrmicinae,Predator,Leaf Litter,1,0,28,0.3472,0.1324,0.406,0.158,2.622356495,1.447158031
Strumigenys_gundlachi,Myrmicinae,Predator,Leaf Litter,0,0,-,0.3812,0.3146,0.359,0.283,1.211697394,-
Strumigenys_hexamera,Myrmicinae,Predator,Ground,0,0,42.5,0.552,0.246,0.587,0.327,2.243902439,1.62838893
Strumigenys_laevinasis,Myrmicinae,Predator,Leaf Litter,0,0,14,0.386,0.1335,0.399,0.244,2.891385768,1.146128036
Strumigenys_lanuginosa,Myrmicinae,Predator,Leaf Litter,0,0,-,0.458,0.3564,0.478,0.357,1.285072952,-
Strumigenys_louisianae,Myrmicinae,Predator,Leaf Litter,1,0,118,0.4636,0.3348,0.521,0.336,1.384707288,2.071882007
Strumigenys_margaritae,Myrmicinae,Predator,Leaf Litter,0,0,225,0.39325,0.135,0.405,0.234,2.912962963,2.352182518
Strumigenys_membranifera,Myrmicinae,Predator,Ground,1,0,250,0.4062,0.1204,0.484,0.162,3.373754153,2.397940009
Strumigenys_missouriensis,Myrmicinae,Predator,Leaf Litter,0,0,49,0.3845,0.1035,-,-,3.714975845,1.69019608
Strumigenys_ornata,Myrmicinae,Predator,Leaf Litter,0,0,20,0.3603333,0.1023333,0.402,0.116,3.52117346,1.301029996
Strumigenys_pilinasis,Myrmicinae,Predator,Mixed,1,0,24,0.42025,0.1715,0.394,0.167,2.450437318,1.380211242
Strumigenys_pulchella,Myrmicinae,Predator,Mixed,0,0,-,0.365,0.085,0.4,0.135,4.294117647,-
Strumigenys_reflexa,Myrmicinae,Predator,Mixed,0,0,-,0.4015,0.123,-,-,3.264227642,-
Strumigenys_rogeri,Myrmicinae,Predator,Leaf Litter,1,0,-,0.4408,0.3294,0.475,0.349,1.33819065,-
Strumigenys_rostrata,Myrmicinae,Predator,Leaf Litter,1,0,23,0.466,0.16175,0.458,-,2.880989181,1.361727836
Strumigenys_silvestrii,Myrmicinae,Predator,Leaf Litter,0,0,-,0.3536,0.255,-,-,1.386666667,-
Strumigenys_talpa,Myrmicinae,Predator,Leaf Litter,0,0,25,0.3646,0.114,0.41,0.139,3.198245614,1.397940009
Strumigenys_wrayi,Myrmicinae,Predator,-,1,0,-,0.375,0.08,-,-,4.6875,-
Tapinoma_melanocephalum,Dolichoderinae,Omnivore,Mixed,1,0,-,0.4048,0.1789,0.46,0.23,2.262716601,-
Tapinoma_sessile,Dolichoderinae,Omnivore,Mixed,1,0,300,0.6591,0.2804,1.05,0.46,2.350570613,2.477121255
Technomyrmex_difficilis,Dolichoderinae,Omnivore,Mixed,1,0,-,0.6007,0.243,1.107,0.582,2.472016461,-
Temnothorax_allardycei,Myrmicinae,Omnivore,Mixed,0,0,60,0.575,0.1926667,0.726,0.324,2.984428549,1.77815125
Temnothorax_curvispinosus,Myrmicinae,Omnivore,Mixed,1,0,42.5,0.4768,0.2097,0.657,0.286,2.273724368,1.62838893
Temnothorax_pergandei,Myrmicinae,Omnivore,Mixed,0,0,55,0.6174167,0.3040833,0.724,0.317,2.030419625,1.740362689
Temnothorax_schaumii,Myrmicinae,Omnivore,Arboreal,1,0,100,0.550125,0.217875,0.724,0.425,2.524956971,2
Temnothorax_smithi,Myrmicinae,Omnivore,Arboreal,1,0,35.5,0.908,0.2945,1.099,0.465,3.083191851,1.550228353
Temnothorax_torrei,Myrmicinae,-,Leaf Litter,-,0,-,0.3964,0.1625,0.532,0.222,2.439384615,-
Tetramorium_bicarinatum,Myrmicinae,Omnivore,Mixed,1,0,500,0.7884,0.4022,0.96,0.536,1.960218797,2.698970004
Tetramorium_caldarium,Myrmicinae,Omnivore,Ground,1,0,-,0.4654,0.2332,0.478,0.254,1.995711835,-
Tetramorium_simillimum,Myrmicinae,Omnivore,Ground,1,0,300,0.4878,0.2373,0.558,0.292,2.05562579,2.477121255
Trachymyrmex_jamaicensis,Myrmicinae,Specialist,Ground,-,0,150,1.4375,0.736875,1.65,-,1.950805768,2.176091259
Trachymyrmex_septentrionalis,Myrmicinae,Specialist,Ground,0,0,300,1.00925,0.434,1.103,0.689,2.325460829,2.477121255
Wasmannia_auropunctata,Myrmicinae,Omnivore,Mixed,1,0,819.5,0.39225,0.1709,0.821,0.334,2.295201872,2.913548958
Xenomyrmex_floridanus,Myrmicinae,Omnivore,Arboreal,0,0,50,0.43,0.1604,0.599,0.276,2.680798005,1.698970004
